Season,Seed,Team
1987,X02,1104
1987,X03,1228
1987,X04,1155
1987,X05,1242
1987,X06,1344
1987,X07,1309
1987,X08,1246
1987,X09,1326
1987,X10,1140
1987,X11,1412
1987,X12,1222
1987,X13,1283
1987,X14,1122
1987,X15,1299
1987,X16,1137
1987,Y01,1231
1987,Y02,1396
1987,Y03,1177
1987,Y04,1281
1987,Y05,1181
1987,Y06,1385
1987,Y07,1210
1987,Y08,1120
1987,Y09,1360
1987,Y10,1261
1987,Y11,1455
1987,Y12,1401
1987,Y13,1462
1987,Y14,1256
1987,Y15,1380
1987,Y16,1193
1987,Z01,1424
1987,Z02,1234
1987,Z03,1338
1987,Z04,1417
1987,Z05,1438
1987,Z06,1328
1987,Z07,1431
1987,Z08,1208
1987,Z09,1243
1987,Z10,1112
1987,Z11,1409
1987,Z12,1461
1987,Z13,1141
1987,Z14,1265
1987,Z15,1365
1987,Z16,1226
1988,W01,1396
1988,W02,1181
1988,W03,1393
1988,W04,1231
1988,W05,1210
1988,W06,1281
1988,W07,1374
1988,W08,1207
1988,W09,1261
1988,W10,1323
1988,W11,1348
1988,W12,1235
1988,W13,1350
1988,W14,1299
1988,W15,1131
1988,W16,1250
1988,X01,1345
1988,X02,1338
1988,X03,1301
1988,X04,1243
1988,X05,1177
1988,X06,1242
1988,X07,1435
1988,X08,1124
1988,X09,1272
1988,X10,1429
1988,X11,1462
1988,X12,1455
1988,X13,1247
1988,X14,1293
1988,X15,1185
1988,X16,1192
1988,Y01,1328
1988,Y02,1246
1988,Y03,1228
1988,Y04,1140
1988,Y05,1257
1988,Y06,1437
1988,Y07,1268
1988,Y08,1120
1988,Y09,1133
1988,Y10,1364
1988,Y11,1116
1988,Y12,1333
1988,Y13,1150
1988,Y14,1427
1988,Y15,1380
1988,Y16,1151
1988,Z01,1112
1988,Z02,1314
1988,Z03,1276
1988,Z04,1424
1988,Z05,1234
1988,Z06,1196
1988,Z07,1461
1988,Z08,1371
1988,Z09,1431
1988,Z10,1258
1988,Z11,1385
1988,Z12,1199
1988,Z13,1283
1988,Z14,1129
1988,Z15,1317
1988,Z16,1165
1989,W01,1207
1989,W02,1181
1989,W03,1390
1989,W04,1234
1989,W05,1301
1989,W06,1243
1989,W07,1452
1989,W08,1435
1989,W09,1323
1989,W10,1397
1989,W11,1278
1989,W12,1376
1989,W13,1353
1989,W14,1373
1989,W15,1354
1989,W16,1343
1989,X01,1112
1989,X02,1231
1989,X03,1371
1989,X04,1424
1989,X05,1272
1989,X06,1333
1989,X07,1431
1989,X08,1388
1989,X09,1155
1989,X10,1261
1989,X11,1191
1989,X12,1177
1989,X13,1225
1989,X14,1283
1989,X15,1206
1989,X16,1352
1989,Y01,1228
1989,Y02,1393
1989,Y03,1281
1989,Y04,1257
1989,Y05,1116
1989,Y06,1210
1989,Y07,1196
1989,Y08,1338
1989,Y09,1123
1989,Y10,1161
1989,Y11,1400
1989,Y12,1258
1989,Y13,1114
1989,Y14,1166
1989,Y15,1137
1989,Y16,1270
1989,Z01,1328
1989,Z02,1314
1989,Z03,1276
1989,Z04,1199
1989,Z05,1438
1989,Z06,1104
1989,Z07,1417
1989,Z08,1247
1989,Z09,1256
1989,Z10,1235
1989,Z11,1375
1989,Z12,1344
1989,Z13,1292
1989,Z14,1462
1989,Z15,1380
1989,Z16,1190
